aX,aY,aZ
-0.642,-0.050,-0.359
-0.601,-0.030,-0.426
-0.557,-0.055,-0.495
-0.571,-0.128,-0.662
-0.590,-0.115,-0.697
-0.596,-0.135,-0.703
-0.571,-0.164,-0.681
-0.601,-0.149,-0.636
-0.590,-0.127,-0.607
-0.579,-0.105,-0.586
-0.590,-0.004,-0.651
-0.629,-0.016,-0.700
-0.556,-0.149,-0.793
-0.475,-0.175,-0.781
-0.455,-0.137,-0.764
-0.557,-0.041,-0.738
-0.652,0.127,-0.609
-0.723,0.165,-0.575
-0.885,0.170,-0.416
-0.807,-0.214,-0.428
-0.702,-0.223,-0.490
-0.587,-0.165,-0.592
-0.679,-0.040,-0.606
-0.728,0.062,-0.564
-0.763,0.108,-0.592
-0.662,0.003,-0.620
-0.709,0.013,-0.631
-1.123,-0.053,-0.691
-1.338,-0.238,-0.838
-1.280,-0.259,-0.885
-0.870,-0.388,-0.630
-0.951,-0.407,-0.274
-0.900,-0.649,-0.199
-0.987,-0.689,-0.499
-1.613,-0.658,-1.350
-1.463,-0.342,-1.308
-0.814,-0.150,-0.529
-0.675,-0.401,-0.190
-0.572,-0.474,0.006
-0.653,-0.454,-0.004
-0.877,-0.392,-0.468
-0.878,-0.405,-0.479
-0.829,-0.406,-0.546
-0.814,-0.420,-0.500
-0.809,-0.398,-0.500
-0.716,-0.407,-0.638
-0.672,-0.401,-0.700
-0.659,-0.343,-0.688
-0.692,-0.293,-0.617
-0.760,-0.293,-0.589
-0.775,-0.304,-0.597
-0.777,-0.270,-0.616
-0.778,-0.272,-0.553
-0.754,-0.298,-0.517
-0.655,-0.265,-0.560
-0.653,-0.373,-0.477
-0.660,-0.433,-0.427
-0.663,-0.384,-0.451
-0.702,-0.319,-0.571
-0.717,-0.407,-0.545
-0.717,-0.310,-0.718
-0.977,-0.098,-0.579
-0.983,-0.099,-0.449
-0.966,-0.209,-0.249
-0.843,-0.363,-0.266
-0.760,-0.383,-0.347
-0.599,-0.434,-0.477
-0.435,-0.494,-0.615
-0.407,-0.472,-0.684
-0.550,-0.360,-0.690
-0.731,-0.310,-0.688
-0.800,-0.210,-0.661
-0.821,-0.136,-0.422
-0.521,-0.263,-0.383
-0.471,-0.277,-0.447
-0.601,-0.183,-0.517
-0.682,-0.051,-0.727
-0.680,-0.128,-0.811
-0.858,-0.297,-0.822
-0.920,-0.277,-1.021
-0.911,-0.197,-1.057
-0.816,-0.119,-1.043
-0.795,-0.054,-0.875
-0.902,-0.094,-0.750
-1.033,-0.203,-0.683
-0.962,-0.362,-0.888
-0.797,-0.253,-0.895
