aX,aY,aZ
-0.403,0.091,-0.755
-0.407,0.112,-0.745
-0.406,0.127,-0.775
-0.395,0.173,-0.671
-0.380,0.170,-0.608
-0.364,0.146,-0.621
-0.325,0.095,-0.769
-0.314,0.085,-0.885
-0.327,0.095,-0.926
-0.327,0.114,-0.893
-0.309,0.165,-0.717
-0.309,0.168,-0.637
-0.323,0.162,-0.553
-0.321,0.218,-0.526
-0.304,0.231,-0.551
-0.408,0.325,-0.849
-0.645,0.124,-1.742
-1.020,-0.223,-1.996
-0.731,-0.033,-1.257
-0.527,-0.217,-0.718
-0.459,-0.110,-0.485
-0.436,0.670,-0.487
-0.691,-0.197,-0.515
-0.851,-0.189,-0.723
-1.097,-0.272,-1.034
-0.897,-0.057,-1.178
-0.715,0.186,-1.009
-0.707,-0.032,-0.555
-0.675,-0.137,-0.537
-0.718,-0.188,-0.586
-0.855,-0.232,-0.728
-0.828,-0.291,-0.758
-0.768,-0.246,-0.828
-0.810,-0.165,-0.646
-0.779,-0.118,-0.410
-0.777,-0.064,-0.476
-0.784,-0.061,-0.485
-0.767,-0.034,-0.501
-0.741,-0.097,-0.556
-0.703,-0.164,-0.538
-0.633,-0.203,-0.538
-0.703,-0.200,-0.587
-0.752,-0.148,-0.636
-0.949,-0.182,-0.326
-0.936,-0.242,-0.330
-0.792,-0.260,-0.516
-0.811,-0.211,-0.542
-0.848,-0.133,-0.544
-0.923,-0.138,-0.477
-0.854,-0.142,-0.516
-0.848,-0.158,-0.523
-0.843,-0.260,-0.479
-0.822,-0.324,-0.501
-0.793,-0.356,-0.506
-0.788,-0.347,-0.552
-0.892,-0.359,-0.623
-0.911,-0.366,-0.627
-1.020,-0.301,-0.616
-1.366,-0.264,-0.581
-1.492,-0.264,-0.531
-1.515,-0.216,-0.457
-1.408,-0.108,-0.514
-1.352,-0.023,-0.592
-1.237,0.025,-0.699
-1.030,-0.007,-0.701
-0.961,-0.070,-0.680
-1.030,-0.058,-0.589
-1.156,-0.142,-0.541
-1.236,-0.181,-0.488
-0.903,-0.111,-0.618
-0.654,-0.461,-0.799
-0.603,-0.532,-0.768
-0.683,-0.336,-0.656
-0.548,-0.223,-0.623
-0.522,-0.313,-0.552
-0.666,-0.314,-0.387
-0.609,-0.175,-0.465
-0.585,-0.073,-0.381
-0.605,0.042,-0.213
-0.628,-0.022,-0.212
-0.687,-0.077,-0.242
-0.654,-0.157,-0.388
-0.617,-0.275,-0.372
-0.595,-0.285,-0.408
